Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-05-16,77,687.6240753986712,4090.7417602539062,40.0,40,0.9532187283039093,1.0175485610961914,0.8888888955116272,7654,80.0,80.0,80.0,,4664026,
2021-05-17,79,2016.471680423568,3978.946778655052,13.0,13,0.3553377460237273,1.3281896114349365,0.23910361528396606,6161,,,,,4692410,424601
2021-05-18,31,1752.2710950009955,2267.060999253648,21.0,21,0.48025224139464745,1.6433078050613403,0.2550294101238251,3450,,,,,1610096,
2021-05-19,140,2201.5012029042696,9714.473017236334,74.0,74,0.5155224214991464,1.711052656173706,0.2550294101238251,14000,,,,,8268890,93935
2021-05-20,50,1842.7984202799587,2618.8847970962524,16.0,16,0.38047488743397384,1.5165581703186035,0.2588490843772888,4078,,,,,2994689,
2021-05-21,63,1902.6127545165596,4571.005825519562,43.0,43,0.534866327536212,1.4920367002487183,0.26565563678741455,6768,,,,,3909532,
2021-05-22,33,1912.1725224445217,2806.1155003905296,28.0,24,0.33637115662607003,2.0584025382995605,0.26565563678741455,3724,,,,,280798,1672131
2021-05-23,62,2007.9332227261598,4310.049760341644,37.0,36,0.490101641757617,2.0504026412963867,0.31878677010536194,5939,,,,,2238747,1453615
2021-05-24,26,1727.5944103297263,1180.0388919115067,,,0.46539134603809185,1.239385724067688,0.26565563678741455,2141,,,,,1232673,
2021-05-25,107,1985.857941138061,5353.621449410915,27.0,27,0.6571368820144932,1.5062543153762817,0.26565563678741455,8148,,,,,5182747,
2021-05-26,92,1905.2348986472523,4800.248432278633,36.0,36,0.588626952483145,1.6592836380004883,0.25432202219963074,7237,,,,,3949640,
2021-05-27,68,1842.7315324729527,3431.1696716547012,19.0,19,0.4909113113332005,1.4688057899475098,0.2469095140695572,5356,,,,,2993666,
2021-05-28,78,1901.471012881873,4793.543774008751,30.0,30,0.43511295299066577,1.8984184265136719,0.2550294101238251,7494,,,,,3887046,
2021-05-29,7,1675.60810965647,327.8884778022766,,,0.31850678262227633,0.4472215473651886,0.26565563678741455,738,,,,,437555,
2021-05-30,4,1650.1366577521485,197.7816562652588,,,0.29540150880084654,0.9803226590156555,0.2550294101238251,595,,,,,47976,
2021-05-31,25,1719.0642340731013,994.9883341789246,,,0.4587807425223143,0.7070582509040833,0.2550294101238251,1851,,,,,964934,60805
2021-06-01,47,1801.7432522532083,3431.9845979213715,31.0,31,0.33775374134410524,1.5370690822601318,0.264486163854599,5219,,,,,2366759,
2021-06-02,67,1875.9713121996597,3349.782492160797,12.0,12,0.38925654130507137,1.7644680738449097,0.2550294101238251,5324,,,,,3502059,
2021-06-03,32,1732.4676060214902,1595.2798914909363,7.0,7,0.3288261689632214,1.3431181907653809,0.24914567172527313,2687,,,,,1307206,
2021-06-04,13,1718.3814735367819,594.4720404148102,,,0.39200976157109596,0.7548877000808716,0.2762818932533264,1260,,,,,1091763,
2021-06-05,23,1752.9597621495764,978.484047293663,,,0.49323462536531304,1.2693413496017456,0.26565563678741455,1730,,,,,1620628,
2021-06-06,44,1804.5869592167699,2132.6046895980835,6.0,6,0.34045483116617015,1.3617308139801025,0.2550294101238251,3639,,,,,2410253,
2021-06-07,63,1965.6360671795526,2459.9477034807205,,,0.39074515979791163,1.36416494846344,0.2550294101238251,4282,,,,,4873458,
2021-06-08,26,1691.0527276392168,1109.4191321134567,,,0.47961288196886054,1.252392292022705,0.2550294101238251,2013,,,,,673776,
2021-06-09,51,1853.783177485257,2707.618332386017,8.0,8,0.38381476889554905,1.323225975036621,0.26565563678741455,4344,,,,,3162697,
2021-06-10,72,1860.9673779522016,3758.570153877139,20.0,20,0.37055674433677205,1.3850454092025757,0.2550294101238251,5839,,,,,3067374,90896
2021-06-11,17,1690.76330953948,845.9689520597458,,,0.421266398569378,1.1068555116653442,0.2550294101238251,1910,,,,,495389,77057
2021-06-12,28,1742.604541784406,1160.0934076309204,,,0.34291808242819927,1.3171048164367676,0.2516607344150543,1977,,,,,1462248,
2021-06-13,41,1792.6183755270392,2216.7119858264923,11.0,11,0.4382764410455075,1.5392558574676514,0.297534316778183,3557,,,,,2023040,90432
2021-06-14,21,1729.2035860323838,755.8709955215454,,,0.42888346215594314,1.2394702434539795,0.26565563678741455,1492,,,,,1257284,
2021-06-15,13,1685.2306420990326,642.4961188435555,,,0.3904869144833517,1.2455008029937744,0.26565563678741455,1422,,,,,584730,
2021-06-16,8,1680.5746161096563,477.5089280605316,,,0.3511690620308631,1.1001782417297363,0.2550294101238251,1054,,,,,513517,
2021-06-17,42,1783.8136380082158,2024.0391796827316,8.0,8,0.5101104782698788,1.5002987384796143,0.2550294101238251,3462,,,,,2092532,
2021-06-18,97,1953.07456851538,5379.948830604553,32.0,32,0.44728102461790653,1.477994680404663,0.2550294101238251,8339,,,,,4544250,60721
2021-06-19,30,1728.3875963502467,1125.8194229602814,,,0.4069868022927681,1.2381852865219116,0.25245940685272217,1952,,,,,1244805,
2021-06-20,35,1811.8183233380466,2038.2232681512833,9.0,9,0.5575953166160115,1.3501055240631104,0.26392778754234314,3303,,,,,2041530,212319
2021-06-21,64,1816.9706382832878,2258.284356355667,,,0.35036399133856827,1.0546737909317017,0.2762818932533264,3842,,,,,2599659,
2021-06-22,13,1686.4429991917216,805.4569660425186,6.0,6,0.3307486434579788,1.4706121683120728,0.26565563678741455,1397,,,,,603272,
2021-06-23,129,2185.090609715964,6928.327414035797,13.0,13,0.6514436143437484,1.4223576784133911,0.2869080901145935,10787,,,,,8229959,
2021-06-24,69,1920.2666857767313,3807.230996608734,17.0,17,0.4370148680192864,1.3710622787475586,0.2550294101238251,5991,,,,,4179546,
2021-06-25,72,1976.6934068241262,3939.3833190202713,13.0,13,0.49072350393618475,1.3526595830917358,0.2550294101238251,6304,,,,,5042577,
2021-06-26,58,1879.158088602861,3573.015079021454,22.0,22,0.4519162030664387,1.4943873882293701,0.2869080901145935,5410,,,,,3550800,
2021-06-27,38,1816.842672501886,2160.3491909503937,7.0,7,0.4061954081989007,1.4878575801849365,0.2451062947511673,3538,,,,,2393305,90538
2021-06-28,56,1865.5197457313056,2317.957961320877,,,0.5125474815533549,1.1077799797058105,0.2550294101238251,4076,,,,,3342205,
2021-06-29,90,1995.3355883730005,5248.177425861359,27.0,27,0.4779397216586088,1.6072447299957275,0.26565563678741455,8188,,,,,5327705,
2021-06-30,71,1880.0711254863058,5078.866068601608,53.0,53,0.5231901510975075,1.658158779144287,0.2550294101238251,7490,,,,,3564764,
2021-07-01,55,1861.5780115504672,3872.4873181581497,38.0,38,0.41361116534883474,1.4049385786056519,0.2762818932533264,5800,,,,,3281915,
2021-07-02,57,1869.0558125658288,3444.287328720093,27.0,27,0.43523781979829584,1.4689007997512817,0.26565563678741455,5229,,,,,3396288,
2021-07-03,49,1819.7444944068418,2702.7214045524597,16.0,16,0.46546492828890373,1.4296810626983643,0.2550294101238251,4279,,,,,2642085,
2021-07-04,90,1931.8098475412262,5333.255116224289,43.0,42,0.4904191261576807,2.064260721206665,0.2550294101238251,7909,,,,,3972956,167538
2021-07-05,35,1765.5029408205025,1662.954565525055,,,0.42666671084563734,1.1108421087265015,0.2550294101238251,2845,,,,,1812473,
2021-07-06,46,1851.702462887498,3505.8614797592163,35.0,35,0.34693679633260405,1.5522139072418213,0.2550294101238251,5072,,,,,3130872,
2021-07-07,54,1867.3240594162269,2417.6140751838684,5.0,5,0.4038224869358189,1.4346593618392944,0.2550294101238251,3920,,,,,3369800,
2021-07-08,139,2239.027340492607,8330.724260747433,55.0,50,0.483954688813423,2.6327078342437744,0.2550294101238251,12416,,,,,8566168,181778
2021-07-09,64,1839.1074187575355,2308.100155711174,1.0,1,0.39740841416251904,1.5639699697494507,0.2550294101238251,3984,,,,,2732452,91152
2021-07-10,142,2226.3477353321427,6568.622744321823,7.0,7,0.43450408122378203,1.4389142990112305,0.24440902471542358,10415,,,,,8515802,152897
2021-07-11,136,2127.027698436609,6247.7270809412,4.0,4,0.47039262055043485,1.2796934843063354,0.2550294101238251,9901,,,,,7129666,94011
2021-07-12,124,2331.438954503128,5484.568956797317,2.0,2,0.47225692920619794,1.2479461431503296,0.2618679106235504,8232,,,,,5477568,2210676
2021-07-13,92,1986.1375695530899,4108.178527052209,3.0,3,0.43498480426018404,1.3059824705123901,0.2488391250371933,6623,,,,,5187025,
2021-07-14,123,2062.517904775026,5541.740617752075,3.0,3,0.48259469660479354,1.3295286893844604,0.2550294101238251,8923,,,,,6355244,
2021-07-15,140,2163.3742009604225,5767.820135593414,,,0.5662952951257925,1.2058918476104736,0.25028693675994873,9158,,,,,7897812,
2021-07-16,27,1718.333006756043,844.7850342690945,,,0.5483966766704279,1.052791953086853,0.2550294101238251,1431,,,,,1091023,
2021-07-17,19,1709.4746171753304,709.7400000095367,,,0.5338025373423118,1.1322736740112305,0.297534316778183,1285,,,,,955534,
2021-07-18,38,1799.6799217772943,1672.2953338623047,6.0,6,0.3128698541876732,1.229752779006958,0.2550294101238251,2673,,,,,2335203,
2021-07-19,49,1838.2277611089883,2696.245635032654,12.0,12,0.39275676730721665,1.3867011070251465,0.2550294101238251,4244,,,,,2924780,
2021-07-20,73,1900.4914096057498,3725.1282634735107,9.0,9,0.462566363580896,1.3765403032302856,0.2869080901145935,5804,,,,,3877087,
